protein1	protein2	cost
EP300	RECQL4	63.24943812949859
EP300	CARM1	72.93090230072205
EP300	BRMS1	57.44478556396543
EP300	HSP90AA2P	20.975869909620663
EP300	ETV1	18.48789301191368
EP300	HIST1H2AB	33.66622626113018
EP300	HIST1H2BB	33.16576240889577
EP300	HIST2H2AB	21.080249115893853
EP300	ZNF76	21.307683987542728
EP300	NUTM1	14.832179854379621
EP300	NABP2	36.33127241641817
EP300	IRF5	49.1927754000454
EP300	ZBTB7B	20.975869909620663
EP300	RPS6KB2	36.33127241641817
EP300	DDX24	37.78036023619454
EP300	CXCL8	14.832179854379621
EP300	PCK1	25.690089094785055
EP300	AUTS2	40.840287144549
EP300	DNA2	29.664359708759243
EP300	HEMGN	44.49653956313887
EP300	NEIL2	14.832179854379621
EP300	ZBTB49	24.045008929142902
EP300	GLUL	29.664359708759243
EP300	DUX4	20.975869909620663
APOB	MTTP	4.0
APOB	EGFR	69.74238309665078
APOB	VCP	48.49742261192856
APOB	AUP1	13.856406460551016
APOB	HSP90B1	17.435595774162696
APOB	DERL1	15.268499246906579
APOB	CANX	18.33030277982336
APOB	CALCR	5.656854249492381
APOB	CALR	14.966629547095765
APOB	APOA1	12.649110640673516
APOB	RAD21	20.51598740384741
APOB	PDIA4	8.94427190999916
APOB	PPIB	10.583005244258363
APOB	FAF2	23.664319132398465
APOB	MIA3	8.826387940343784
APOB	CTAGE5	6.928203230275508
ARRB2	RALGDS	23.664319132398465
ARRB2	HGS	52.367534699399286
ARRB2	IGF1R	38.64131555395838
ARRB2	EGFR	130.47605144240072
ARRB2	FLNA	44.8998886412873
ARRB2	LIMK1	24.819347291981714
ARRB2	YWHAQ	74.08103670980853
ARRB2	AKT1	87.9361666883457
ARRB2	CTTN	35.88871688985272
ARRB2	MAPK1	68.99275324264136
ARRB2	SRC	72.55342858886821
ARRB2	PDE4D	18.365837559180694
ARRB2	HSPA8	80.94032983456728
ARRB2	NEDD4	77.40800992145451
ARRB2	CYTH2	20.532167237681996
ARRB2	MAPK10	25.92296279363144
ARRB2	ITCH	63.05553108173779
ARRB2	USP33	21.95984646335742
ARRB2	CFL1	27.999999999999996
ARRB2	AP2B1	33.46640106136302
ARRB2	MAPK9	36.975291293631464
ARRB2	UBC	116.51641996765332
ARRB2	ARR3	14.966629547095765
ARRB2	ARRB1	51.84592558726288
ARRB2	TRAF6	72.22472254019209
ARRB2	PARK2	78.84161337770809
ARRB2	EFTUD2	68.3456770864411
ARRB2	NOLC1	28.982753492378876
ARRB2	TCOF1	21.166010488516726
ARRB2	ZRANB2	14.906174475018881
ARRB2	PPM1B	25.92296279363144
ARRB2	FBL	44.27188724235731
ARRB2	NCL	70.19971509913698
ARRB2	MAP3K1	40.98780306383839
ARRB2	CSNK2A1	73.08990589332626
ARRB2	CTNNA1	25.851262556245757
ARRB2	GSN	22.44994432064365
ARRB2	MDM2	108.44353369380767
ARRB2	MAP3K5	26.899727813615105
ARRB2	CHUK	50.71411811082739
ARRB2	NFKBIA	43.634848458542855
ARRB2	PRKCB	30.854497241083024
ARRB2	PPM1A	19.265782440537826
ARRB2	MAPK3	48.49742261192856
ARRB2	ADRB2	29.870444283341243
ARRB2	PKM	29.00712800546109
ARRB2	STK38	28.399698075595932
ARRB2	S100A9	16.73320053068151
ARRB2	DRD4	12.96148139681572
ARRB2	ARRDC3	18.056283742664803
ARRB2	AGTR1	10.583005244258363
ARRB2	CALM3	14.966629547095765
ARRB2	AP3B2	10.583005244258363
ARRB2	SLC9A5	7.483314773547883
ARRB2	PTGDS	8.853296827306462
RALGDS	RAP1A	10.95445115010332
RALGDS	HRAS	12.140167993568015
RALGDS	KRAS	11.83215956619923
RALGDS	MRAS	4.827262155304563
RALGDS	RAP2B	4.47213595499958
RALGDS	RRAS	6.87813639420989
RALGDS	RRAS2	5.47722557505166
RALGDS	RAP2A	6.324555320336758
RALGDS	RAPGEF2	7.491448418663753
CSF1R	GRB2	38.41874542459709
CSF1R	SOCS1	21.840329667841555
CSF1R	CBL	31.032241298365804
CSF1R	PIK3CA	10.907959008848376
CSF1R	STAP2	7.3484692283495345
CSF1R	GRAP2	12.0
CSF1R	PIK3R1	16.432080252498153
CSF1R	KIT	14.07124727947029
CSF1R	FYN	18.233177207469097
GRB2	PRRC2A	22.70597544988928
GRB2	RB1	129.9932639059043
GRB2	TSG101	73.31179604256597
